Barrio;Año;Trismestre;Valor;Ambientes;Estado
Coghlan;2024;3;2963.96;2;Nuevo
Colegiales;2024;3;3295.38;2;Nuevo
Flores;2024;3;2404.26;2;Nuevo
Liniers;2024;3;2320.1;2;Nuevo
Mataderos;2024;3;2212.87;2;Nuevo
Monte Castro;2024;3;2232.2;2;Nuevo
Núñez;2024;3;3344.96;2;Nuevo
Palermo;2024;3;3723.23;2;Nuevo
Parque Chacabuco;2024;3;2707.2;2;Nuevo
Recoleta;2024;3;3646.89;2;Nuevo
Saavedra;2024;3;2673.82;2;Nuevo
San Cristóbal;2024;3;2201.28;2;Nuevo
Villa Crespo;2024;3;2810.8;2;Nuevo
Villa del Parque;2024;3;2515.87;2;Nuevo
Villa Devoto;2024;3;2731.33;2;Nuevo
Villa Luro;2024;3;2430.6;2;Nuevo
Villa Urquiza;2024;3;2905.97;2;Nuevo
Almagro;2024;4;2736.93;2;Nuevo
Balvanera;2024;4;2476.9;2;Nuevo
Belgrano;2024;4;3786.26;2;Nuevo
Boedo;2024;4;2429.09;2;Nuevo
Caballito;2024;4;2885.56;2;Nuevo
Coghlan;2024;4;2899.36;2;Nuevo
Colegiales;2024;4;3392.63;2;Nuevo
Flores;2024;4;2414.42;2;Nuevo
Liniers;2024;4;2362.67;2;Nuevo
Mataderos;2024;4;2212.54;2;Nuevo
Monte Castro;2024;4;2231.57;2;Nuevo
Núñez;2024;4;3433.2;2;Nuevo
Palermo;2024;4;3770.26;2;Nuevo
Parque Chacabuco;2024;4;;2;Nuevo
Recoleta;2024;4;3631.96;2;Nuevo
Saavedra;2024;4;2808.65;2;Nuevo
San Cristóbal;2024;4;2270.71;2;Nuevo
Villa Crespo;2024;4;2814.85;2;Nuevo
Villa del Parque;2024;4;2530.78;2;Nuevo
Villa Devoto;2024;4;2734.91;2;Nuevo
Villa Luro;2024;4;2334.06;2;Nuevo
Villa Urquiza;2024;4;2990.13;2;Nuevo
Almagro;2025;1;2857.78;2;Nuevo
Balvanera;2025;1;2538.26;2;Nuevo
Belgrano;2025;1;3924.72;2;Nuevo
Boedo;2025;1;;2;Nuevo
Caballito;2025;1;2991.19;2;Nuevo
Coghlan;2025;1;3103.04;2;Nuevo
Colegiales;2025;1;3454.15;2;Nuevo
Flores;2025;1;2486.15;2;Nuevo
Liniers;2025;1;2402.05;2;Nuevo
Mataderos;2025;1;2255.58;2;Nuevo
Monte Castro;2025;1;2261.28;2;Nuevo
Núñez;2025;1;3545;2;Nuevo
Palermo;2025;1;3830.77;2;Nuevo
Parque Chacabuco;2025;1;;2;Nuevo
Recoleta;2025;1;3441.07;2;Nuevo
Saavedra;2025;1;2840.93;2;Nuevo
San Cristóbal;2025;1;2306.13;2;Nuevo
Villa Crespo;2025;1;2949.84;2;Nuevo
Villa del Parque;2025;1;2560.73;2;Nuevo
Villa Devoto;2025;1;2749.14;2;Nuevo
Villa Luro;2025;1;2531.03;2;Nuevo
Villa Urquiza;2025;1;2974.94;2;Nuevo
Almagro;2025;2;2906.44;2;Nuevo
Balvanera;2025;2;2558.08;2;Nuevo
Belgrano;2025;2;3938.43;2;Nuevo
Boedo;2025;2;2767.89;2;Nuevo
Caballito;2025;2;3154.16;2;Nuevo
Coghlan;2025;2;3102.46;2;Nuevo
Colegiales;2025;2;3662;2;Nuevo
Flores;2025;2;2525.53;2;Nuevo
Liniers;2025;2;2482.46;2;Nuevo
Mataderos;2025;2;2298.96;2;Nuevo
Monte Castro;2025;2;2277.25;2;Nuevo
Núñez;2025;2;3636.19;2;Nuevo
Palermo;2025;2;3826.88;2;Nuevo
Parque Chacabuco;2025;2;;2;Nuevo
Recoleta;2025;2;3710.86;2;Nuevo
Saavedra;2025;2;3117.04;2;Nuevo
San Cristóbal;2025;2;2387.38;2;Nuevo
Villa Crespo;2025;2;2903.22;2;Nuevo
Villa del Parque;2025;2;2575.58;2;Nuevo
Villa Devoto;2025;2;2992.24;2;Nuevo
Villa Luro;2025;2;2635.71;2;Nuevo
Villa Urquiza;2025;2;3066.91;2;Nuevo
Almagro;2025;3;2977.39;2;Nuevo
Balvanera;2025;3;2562.59;2;Nuevo
Belgrano;2025;3;3938.85;2;Nuevo
Boedo;2025;3;2801.21;2;Nuevo
Caballito;2025;3;3094.29;2;Nuevo
Coghlan;2025;3;3082.61;2;Nuevo
Colegiales;2025;3;3661.91;2;Nuevo
Flores;2025;3;2489.38;2;Nuevo
Liniers;2025;3;2546.9;2;Nuevo
Mataderos;2025;3;2288.33;2;Nuevo
Monte Castro;2025;3;2423.75;2;Nuevo
Núñez;2025;3;3720.76;2;Nuevo
Palermo;2025;3;3834.21;2;Nuevo
Parque Chacabuco;2025;3;;2;Nuevo
Recoleta;2025;3;3714.18;2;Nuevo
Saavedra;2025;3;3247.96;2;Nuevo
San Cristóbal;2025;3;2364.1;2;Nuevo
Villa Crespo;2025;3;2984.07;2;Nuevo
Villa del Parque;2025;3;2571.04;2;Nuevo
Villa Devoto;2025;3;3009.3;2;Nuevo
Villa Luro;2025;3;2661.27;2;Nuevo
Villa Urquiza;2025;3;3125.98;2;Nuevo
