Barrio;Año;Trismestre;Valor;Ambientes;Estado
Liniers;2019;2;2616.8;2;Nuevo
Mataderos;2019;2;2768.09;2;Nuevo
Monte Castro;2019;2;;2;Nuevo
Núñez;2019;2;3932.5;2;Nuevo
Palermo;2019;2;4075.15;2;Nuevo
Parque Chacabuco;2019;2;2738.16;2;Nuevo
Recoleta;2019;2;4193.45;2;Nuevo
Saavedra;2019;2;3164.72;2;Nuevo
San Cristóbal;2019;2;2466.43;2;Nuevo
Villa Crespo;2019;2;3290.33;2;Nuevo
Villa del Parque;2019;2;;2;Nuevo
Villa Devoto;2019;2;;2;Nuevo
Villa Luro;2019;2;2800.43;2;Nuevo
Villa Urquiza;2019;2;3344.25;2;Nuevo
Almagro;2019;3;3123.55;2;Nuevo
Balvanera;2019;3;2861.19;2;Nuevo
Belgrano;2019;3;3936.87;2;Nuevo
Boedo;2019;3;2668.66;2;Nuevo
Caballito;2019;3;3395.66;2;Nuevo
Coghlan;2019;3;;2;Nuevo
Colegiales;2019;3;3585.47;2;Nuevo
Flores;2019;3;2822.37;2;Nuevo
Liniers;2019;3;2696.01;2;Nuevo
Mataderos;2019;3;2877.36;2;Nuevo
Monte Castro;2019;3;;2;Nuevo
Núñez;2019;3;3755.73;2;Nuevo
Palermo;2019;3;3902.19;2;Nuevo
Parque Chacabuco;2019;3;;2;Nuevo
Recoleta;2019;3;4116.74;2;Nuevo
Saavedra;2019;3;;2;Nuevo
San Cristóbal;2019;3;2434.67;2;Nuevo
Villa Crespo;2019;3;3231.28;2;Nuevo
Villa del Parque;2019;3;;2;Nuevo
Villa Devoto;2019;3;;2;Nuevo
Villa Luro;2019;3;2764.5;2;Nuevo
Villa Urquiza;2019;3;3361.36;2;Nuevo
Almagro;2019;4;3145.25;2;Nuevo
Balvanera;2019;4;2794.68;2;Nuevo
Belgrano;2019;4;3999.44;2;Nuevo
Boedo;2019;4;2753.7;2;Nuevo
Caballito;2019;4;3426.1;2;Nuevo
Coghlan;2019;4;;2;Nuevo
Colegiales;2019;4;3620.15;2;Nuevo
Flores;2019;4;;2;Nuevo
Liniers;2019;4;2705.61;2;Nuevo
Mataderos;2019;4;2739.97;2;Nuevo
Monte Castro;2019;4;2530.81;2;Nuevo
Núñez;2019;4;3744.94;2;Nuevo
Palermo;2019;4;3873.02;2;Nuevo
Parque Chacabuco;2019;4;2898.34;2;Nuevo
Recoleta;2019;4;4028.32;2;Nuevo
Saavedra;2019;4;3170.69;2;Nuevo
San Cristóbal;2019;4;2344.38;2;Nuevo
Villa Crespo;2019;4;3136.05;2;Nuevo
Villa del Parque;2019;4;2850.95;2;Nuevo
Villa Devoto;2019;4;3012.89;2;Nuevo
Villa Luro;2019;4;2786.76;2;Nuevo
Villa Urquiza;2019;4;;2;Nuevo
Almagro;2020;1;3128.87;2;Nuevo
Balvanera;2020;1;2730.64;2;Nuevo
Belgrano;2020;1;3894.86;2;Nuevo
Boedo;2020;1;2832.25;2;Nuevo
Caballito;2020;1;3287.45;2;Nuevo
Coghlan;2020;1;3100.46;2;Nuevo
Colegiales;2020;1;3492.45;2;Nuevo
Flores;2020;1;;2;Nuevo
Liniers;2020;1;2746.84;2;Nuevo
Mataderos;2020;1;2795.52;2;Nuevo
Monte Castro;2020;1;2654.09;2;Nuevo
Núñez;2020;1;3535.94;2;Nuevo
Palermo;2020;1;3834.64;2;Nuevo
Parque Chacabuco;2020;1;2867.13;2;Nuevo
Recoleta;2020;1;3967.13;2;Nuevo
Saavedra;2020;1;3209.03;2;Nuevo
San Cristóbal;2020;1;2331.61;2;Nuevo
Villa Crespo;2020;1;3153.21;2;Nuevo
Villa del Parque;2020;1;2872.54;2;Nuevo
Villa Devoto;2020;1;3112.31;2;Nuevo
Villa Luro;2020;1;2721.83;2;Nuevo
Villa Urquiza;2020;1;3326.1;2;Nuevo
Almagro;2020;2;3175.92;2;Nuevo
Balvanera;2020;2;;2;Nuevo
