Barrio;Año;Trimestre;Valor;Ambientes;Estado
Agronomía;2018;1;;2;Usado
Almagro;2018;1;2680.49;2;Usado
Balvanera;2018;1;2197.38;2;Usado
Barracas;2018;1;2369.51;2;Usado
Belgrano;2018;1;3473.43;2;Usado
Boca;2018;1;1716.04;2;Usado
Boedo;2018;1;2464.83;2;Usado
Caballito;2018;1;2758.46;2;Usado
Chacarita;2018;1;2833.49;2;Usado
Coghlan;2018;1;;2;Usado
Colegiales;2018;1;3282.2;2;Usado
Constitución;2018;1;1891.04;2;Usado
Flores;2018;1;2314.27;2;Usado
Floresta;2018;1;2161.85;2;Usado
Liniers;2018;1;2033.15;2;Usado
Mataderos;2018;1;;2;Usado
Monte Castro;2018;1;;2;Usado
Montserrat;2018;1;2321.92;2;Usado
Nueva Pompeya;2018;1;;2;Usado
Núñez;2018;1;3583.96;2;Usado
Palermo;2018;1;3641.66;2;Usado
Parque Avellaneda;2018;1;;2;Usado
Parque Chacabuco;2018;1;2531.22;2;Usado
Parque Chas;2018;1;;2;Usado
Parque Patricios;2018;1;2057.35;2;Usado
Puerto Madero;2018;1;6077.45;2;Usado
Recoleta;2018;1;3495.97;2;Usado
Retiro;2018;1;3011.88;2;Usado
Saavedra;2018;1;3016.56;2;Usado
San Cristóbal;2018;1;2201.94;2;Usado
San Nicolás;2018;1;2314.86;2;Usado
San Telmo;2018;1;2488.62;2;Usado
Vélez Sarsfield;2018;1;2264.16;2;Usado
Villa Crespo;2018;1;2733.55;2;Usado
Villa del Parque;2018;1;2413.08;2;Usado
Villa Devoto;2018;1;2594.96;2;Usado
Villa Gral. Mitre;2018;1;2270.35;2;Usado
Villa Luro;2018;1;2338.89;2;Usado
Villa Ortúzar;2018;1;;2;Usado
Villa Pueyrredón;2018;1;;2;Usado
Villa Santa Rita;2018;1;2336.84;2;Usado
Villa Urquiza;2018;1;3114.44;2;Usado
Agronomía;2018;2;;2;Usado
Almagro;2018;2;2755.13;2;Usado
Balvanera;2018;2;2319.2;2;Usado
Barracas;2018;2;2530.72;2;Usado
Belgrano;2018;2;3516.6;2;Usado
Boca;2018;2;1864.61;2;Usado
Boedo;2018;2;2427.64;2;Usado
Caballito;2018;2;2847.98;2;Usado
Chacarita;2018;2;2701.17;2;Usado
Coghlan;2018;2;;2;Usado
Colegiales;2018;2;3353.16;2;Usado
Constitución;2018;2;1958.47;2;Usado
Flores;2018;2;2356.15;2;Usado
Floresta;2018;2;2193.42;2;Usado
Liniers;2018;2;2133.43;2;Usado
Mataderos;2018;2;;2;Usado
Monte Castro;2018;2;;2;Usado
Montserrat;2018;2;2372.76;2;Usado
Nueva Pompeya;2018;2;;2;Usado
Núñez;2018;2;3649.72;2;Usado
Palermo;2018;2;3746.59;2;Usado
Parque Avellaneda;2018;2;;2;Usado
Parque Chacabuco;2018;2;2606.7;2;Usado
Parque Chas;2018;2;;2;Usado
Parque Patricios;2018;2;2134.64;2;Usado
Puerto Madero;2018;2;6186.91;2;Usado
Recoleta;2018;2;3558.65;2;Usado
Retiro;2018;2;2955.62;2;Usado
Saavedra;2018;2;3263.26;2;Usado
San Cristóbal;2018;2;2389.07;2;Usado
San Nicolás;2018;2;2411.62;2;Usado
San Telmo;2018;2;2499.88;2;Usado
Vélez Sarsfield;2018;2;2298.94;2;Usado
Villa Crespo;2018;2;2746.67;2;Usado
Villa del Parque;2018;2;2542.98;2;Usado
Villa Devoto;2018;2;2812.65;2;Usado
Villa Gral. Mitre;2018;2;2225.79;2;Usado
