Barrio;Año;Trimestre;Valor;Ambientes;Estado
Almagro;2018;1;2666.69;1;Usado
Balvanera;2018;1;2460.99;1;Usado
Barracas;2018;1;;1;Usado
Belgrano;2018;1;3603.11;1;Usado
Boca;2018;1;;1;Usado
Boedo;2018;1;;1;Usado
Caballito;2018;1;3010.75;1;Usado
Chacarita;2018;1;;1;Usado
Colegiales;2018;1;;1;Usado
Constitución;2018;1;;1;Usado
Flores;2018;1;2486.82;1;Usado
Floresta;2018;1;;1;Usado
Liniers;2018;1;;1;Usado
Monte Castro;2018;1;;1;Usado
Montserrat;2018;1;2649.62;1;Usado
Núñez;2018;1;;1;Usado
Palermo;2018;1;3651.65;1;Usado
Parque Chacabuco;2018;1;;1;Usado
Parque Chas;2018;1;;1;Usado
Recoleta;2018;1;3389.12;1;Usado
Retiro;2018;1;3528.2;1;Usado
Saavedra;2018;1;;1;Usado
San Cristóbal;2018;1;2446.29;1;Usado
San Nicolás;2018;1;2500.91;1;Usado
San Telmo;2018;1;;1;Usado
Vélez Sarsfield;2018;1;;1;Usado
Villa Crespo;2018;1;3013.89;1;Usado
Villa del Parque;2018;1;2791.77;1;Usado
Villa Devoto;2018;1;;1;Usado
Villa Gral. Mitre;2018;1;;1;Usado
Villa Luro;2018;1;;1;Usado
Villa Ortúzar;2018;1;;1;Usado
Villa Pueyrredón;2018;1;2799.2;1;Usado
Villa Santa Rita;2018;1;;1;Usado
Villa Urquiza;2018;1;3104.86;1;Usado
Almagro;2018;2;2736.69;1;Usado
Balvanera;2018;2;2505.36;1;Usado
Barracas;2018;2;;1;Usado
Belgrano;2018;2;3718.12;1;Usado
Boca;2018;2;;1;Usado
Boedo;2018;2;;1;Usado
Caballito;2018;2;2967.99;1;Usado
Chacarita;2018;2;;1;Usado
Colegiales;2018;2;;1;Usado
Constitución;2018;2;;1;Usado
Flores;2018;2;2436;1;Usado
Floresta;2018;2;;1;Usado
Liniers;2018;2;;1;Usado
Monte Castro;2018;2;;1;Usado
Montserrat;2018;2;2469.2;1;Usado
Núñez;2018;2;3788.71;1;Usado
Palermo;2018;2;3663.9;1;Usado
Parque Chacabuco;2018;2;;1;Usado
Parque Chas;2018;2;;1;Usado
Recoleta;2018;2;3531.28;1;Usado
Retiro;2018;2;;1;Usado
Saavedra;2018;2;;1;Usado
San Cristóbal;2018;2;2378.24;1;Usado
San Nicolás;2018;2;2616.33;1;Usado
San Telmo;2018;2;;1;Usado
Vélez Sarsfield;2018;2;;1;Usado
Villa Crespo;2018;2;2973.19;1;Usado
Villa del Parque;2018;2;;1;Usado
Villa Devoto;2018;2;;1;Usado
Villa Gral. Mitre;2018;2;;1;Usado
Villa Luro;2018;2;;1;Usado
Villa Ortúzar;2018;2;;1;Usado
Villa Pueyrredón;2018;2;2931.83;1;Usado
Villa Santa Rita;2018;2;;1;Usado
Villa Urquiza;2018;2;;1;Usado
Almagro;2018;3;2953.85;1;Usado
Balvanera;2018;3;2516.17;1;Usado
Barracas;2018;3;;1;Usado
Belgrano;2018;3;3760.36;1;Usado
Boca;2018;3;;1;Usado
Boedo;2018;3;;1;Usado
Caballito;2018;3;3133.11;1;Usado
Chacarita;2018;3;3158.5;1;Usado
Colegiales;2018;3;3414.69;1;Usado
Constitución;2018;3;2437.46;1;Usado
Flores;2018;3;2512.47;1;Usado
Floresta;2018;3;;1;Usado
Liniers;2018;3;;1;Usado
Monte Castro;2018;3;;1;Usado
Montserrat;2018;3;2440.71;1;Usado
Núñez;2018;3;3650.83;1;Usado
Palermo;2018;3;3664.28;1;Usado
Parque Chacabuco;2018;3;;1;Usado
Parque Chas;2018;3;;1;Usado
Recoleta;2018;3;3736.22;1;Usado
Retiro;2018;3;3317.32;1;Usado
Saavedra;2018;3;;1;Usado
San Cristóbal;2018;3;2297.02;1;Usado
San Nicolás;2018;3;2691.44;1;Usado
San Telmo;2018;3;;1;Usado
Vélez Sarsfield;2018;3;;1;Usado
Villa Crespo;2018;3;3015.57;1;Usado
Villa del Parque;2018;3;2751.66;1;Usado
Villa Devoto;2018;3;;1;Usado
Villa Gral. Mitre;2018;3;;1;Usado
Villa Luro;2018;3;;1;Usado
Villa Ortúzar;2018;3;;1;Usado
Villa Pueyrredón;2018;3;3031.58;1;Usado
Villa Santa Rita;2018;3;;1;Usado
Villa Urquiza;2018;3;3242.25;1;Usado
Almagro;2018;4;2956.21;1;Usado
Balvanera;2018;4;2614.77;1;Usado
Barracas;2018;4;;1;Usado
Belgrano;2018;4;3602.49;1;Usado
Boca;2018;4;;1;Usado
Boedo;2018;4;;1;Usado
Caballito;2018;4;3040.17;1;Usado
Chacarita;2018;4;3088.5;1;Usado
Colegiales;2018;4;3480.42;1;Usado
Constitución;2018;4;;1;Usado
Flores;2018;4;2508.24;1;Usado
Floresta;2018;4;;1;Usado
Liniers;2018;4;;1;Usado
Monte Castro;2018;4;;1;Usado
Montserrat;2018;4;2644.24;1;Usado
Núñez;2018;4;3678.95;1;Usado
Palermo;2018;4;3755.41;1;Usado
Parque Chacabuco;2018;4;;1;Usado
Parque Chas;2018;4;;1;Usado
Recoleta;2018;4;3540.95;1;Usado
Retiro;2018;4;3356.78;1;Usado
Saavedra;2018;4;3137.72;1;Usado
San Cristóbal;2018;4;2396.08;1;Usado
San Nicolás;2018;4;2638.36;1;Usado
San Telmo;2018;4;;1;Usado
Vélez Sarsfield;2018;4;;1;Usado
Villa Crespo;2018;4;3000.82;1;Usado
Villa del Parque;2018;4;;1;Usado
Villa Devoto;2018;4;;1;Usado
Villa Gral. Mitre;2018;4;;1;Usado
Villa Luro;2018;4;;1;Usado
Villa Ortúzar;2018;4;;1;Usado
Villa Pueyrredón;2018;4;2964.04;1;Usado
Villa Santa Rita;2018;4;;1;Usado
Villa Urquiza;2018;4;3233.29;1;Usado
Almagro;2019;1;3006.69;1;Usado
Balvanera;2019;1;2618.56;1;Usado
Barracas;2019;1;;1;Usado
Belgrano;2019;1;3666.28;1;Usado
Boca;2019;1;2239.05;1;Usado
Boedo;2019;1;;1;Usado
Caballito;2019;1;2955.25;1;Usado
Chacarita;2019;1;3187.17;1;Usado
Colegiales;2019;1;3459.56;1;Usado
Constitución;2019;1;2366.78;1;Usado
Flores;2019;1;2632.91;1;Usado
Floresta;2019;1;;1;Usado
Liniers;2019;1;;1;Usado
Monte Castro;2019;1;;1;Usado
Montserrat;2019;1;2693.47;1;Usado
Núñez;2019;1;3591.07;1;Usado
Palermo;2019;1;3738.42;1;Usado
Parque Chacabuco;2019;1;;1;Usado
Parque Chas;2019;1;;1;Usado
Recoleta;2019;1;3528.76;1;Usado
Retiro;2019;1;3448.57;1;Usado
Saavedra;2019;1;3318.62;1;Usado
San Cristóbal;2019;1;2403.66;1;Usado
San Nicolás;2019;1;2592.31;1;Usado
San Telmo;2019;1;;1;Usado
Vélez Sarsfield;2019;1;;1;Usado
Villa Crespo;2019;1;2988.48;1;Usado
Villa del Parque;2019;1;;1;Usado
