Barrio;Año;Trimestre;Valor;Ambientes;Estado
Balvanera;2019;4;2612.25;3;Nuevo
Belgrano;2019;4;4315.39;3;Nuevo
Caballito;2019;4;3385.09;3;Nuevo
Colegiales;2019;4;3758.38;3;Nuevo
Flores;2019;4;2872.55;3;Nuevo
Liniers;2019;4;2903.64;3;Nuevo
Mataderos;2019;4;2684;3;Nuevo
Núñez;2019;4;3908.91;3;Nuevo
Palermo;2019;4;4142.03;3;Nuevo
Recoleta;2019;4;3877.27;3;Nuevo
Saavedra;2019;4;3162.55;3;Nuevo
Villa Crespo;2019;4;3049.17;3;Nuevo
Villa del Parque;2019;4;;3;Nuevo
Villa Devoto;2019;4;;3;Nuevo
Villa Luro;2019;4;2835.7;3;Nuevo
Villa Urquiza;2019;4;3537.59;3;Nuevo
Almagro;2020;1;2973.91;3;Nuevo
Balvanera;2020;1;2561.12;3;Nuevo
Belgrano;2020;1;4026.18;3;Nuevo
Caballito;2020;1;3321.96;3;Nuevo
Colegiales;2020;1;3706.98;3;Nuevo
Flores;2020;1;2951.01;3;Nuevo
Liniers;2020;1;;3;Nuevo
Mataderos;2020;1;2716.75;3;Nuevo
Núñez;2020;1;3936.16;3;Nuevo
Palermo;2020;1;4020.56;3;Nuevo
Recoleta;2020;1;3468.4;3;Nuevo
Saavedra;2020;1;3158.6;3;Nuevo
Villa Crespo;2020;1;3127.97;3;Nuevo
Villa del Parque;2020;1;;3;Nuevo
Villa Devoto;2020;1;;3;Nuevo
Villa Luro;2020;1;2783.21;3;Nuevo
Villa Urquiza;2020;1;3333.62;3;Nuevo
Almagro;2020;2;2985.88;3;Nuevo
Balvanera;2020;2;;3;Nuevo
Belgrano;2020;2;3674.84;3;Nuevo
Caballito;2020;2;3141.12;3;Nuevo
Colegiales;2020;2;3444.26;3;Nuevo
Flores;2020;2;2939.83;3;Nuevo
Liniers;2020;2;2915.08;3;Nuevo
Mataderos;2020;2;2786.41;3;Nuevo
Núñez;2020;2;3566.08;3;Nuevo
Palermo;2020;2;3936.24;3;Nuevo
Recoleta;2020;2;3327.77;3;Nuevo
Saavedra;2020;2;3043.69;3;Nuevo
Villa Crespo;2020;2;3102.4;3;Nuevo
Villa del Parque;2020;2;;3;Nuevo
Villa Devoto;2020;2;;3;Nuevo
Villa Luro;2020;2;2708.4;3;Nuevo
Villa Urquiza;2020;2;3207.59;3;Nuevo
Almagro;2020;3;2828.17;3;Nuevo
Balvanera;2020;3;2535.76;3;Nuevo
Belgrano;2020;3;3601.25;3;Nuevo
Caballito;2020;3;3133.1;3;Nuevo
Colegiales;2020;3;;3;Nuevo
Flores;2020;3;2817.35;3;Nuevo
Liniers;2020;3;2865.55;3;Nuevo
Mataderos;2020;3;;3;Nuevo
Núñez;2020;3;3696.13;3;Nuevo
Palermo;2020;3;3925.32;3;Nuevo
Recoleta;2020;3;3304.91;3;Nuevo
Saavedra;2020;3;2991.89;3;Nuevo
Villa Crespo;2020;3;2886.35;3;Nuevo
Villa del Parque;2020;3;2885;3;Nuevo
Villa Devoto;2020;3;2963.39;3;Nuevo
Villa Luro;2020;3;2726.6;3;Nuevo
Villa Urquiza;2020;3;3307.48;3;Nuevo
Almagro;2020;4;2893.55;3;Nuevo
Balvanera;2020;4;;3;Nuevo
Belgrano;2020;4;3540.13;3;Nuevo
Caballito;2020;4;3076.89;3;Nuevo
Colegiales;2020;4;;3;Nuevo
Flores;2020;4;2823.49;3;Nuevo
Liniers;2020;4;2716.46;3;Nuevo
Mataderos;2020;4;2590.25;3;Nuevo
Núñez;2020;4;3510.58;3;Nuevo
Palermo;2020;4;3732.94;3;Nuevo
Recoleta;2020;4;3169.58;3;Nuevo
Saavedra;2020;4;3080.59;3;Nuevo
Villa Crespo;2020;4;2932.38;3;Nuevo
Villa del Parque;2020;4;2754.97;3;Nuevo
Villa Devoto;2020;4;2966.76;3;Nuevo
Villa Luro;2020;4;2750.52;3;Nuevo
Villa Urquiza;2020;4;3258.27;3;Nuevo
Almagro;2021;1;2935.52;3;Nuevo
Balvanera;2021;1;2595.98;3;Nuevo
Belgrano;2021;1;3443.57;3;Nuevo
Caballito;2021;1;3035.08;3;Nuevo
Colegiales;2021;1;3230.62;3;Nuevo
Flores;2021;1;2676.01;3;Nuevo
Liniers;2021;1;2750.14;3;Nuevo
Mataderos;2021;1;2609.42;3;Nuevo
Núñez;2021;1;3272.39;3;Nuevo
Palermo;2021;1;3662.69;3;Nuevo
Recoleta;2021;1;3176.08;3;Nuevo
Saavedra;2021;1;3064.43;3;Nuevo
